id,city,name,price_per_night,rating,style,wheelchair_accessible,ramp_access,elevator,accessible_transport,accessible_hotel
1,Paris,Le Grand Palais Hotel,450,4.8,luxury,true,true,true,true,true
2,Paris,Montmartre Budget Stay,80,3.9,budget,false,false,false,false,false
3,Paris,Seine River Accessible Lodge,150,4.5,cultural,true,true,true,false,true
4,Tokyo,Shinjuku Accessible Inn,120,4.6,budget,true,true,true,true,true
5,Tokyo,Ginza Luxury Tower,600,4.9,luxury,true,true,true,true,true
6,Tokyo,Asakusa Traditional Ryokan,200,4.4,cultural,false,false,false,false,false
7,New York,Central Park Views,350,4.7,luxury,true,true,true,true,true
8,New York,Brooklyn Backpacker,65,4.0,budget,false,false,false,false,false
9,Dubai,Burj Horizon,800,5.0,luxury,true,true,true,true,true
10,Dubai,Desert Safari Camp,250,4.6,adventure,false,false,false,false,false
11,London,The Thames Retreat,300,4.5,family,true,true,true,true,true
12,London,Camden Eco Lodge,90,4.1,budget,false,false,false,false,false
13,Barcelona,Gaudi Boutique,180,4.7,cultural,true,true,true,false,true
14,Barcelona,Beachfront Hostel,50,4.2,budget,false,false,false,false,false
15,Singapore,Marina Bay Sands,700,4.9,luxury,true,true,true,true,true
16,Singapore,Chinatown Heritage Inn,110,4.4,cultural,false,false,true,false,false
17,Bangkok,Siam Siam Stay,140,4.5,budget,true,true,true,true,true
18,Bangkok,Riverside Luxury,500,4.8,luxury,true,true,true,true,true
19,Bali,Ubud Jungle Resort,220,4.7,adventure,false,false,false,false,false
20,Bali,Accessible Beachfront Villa,300,4.8,luxury,true,true,false,true,true
21,Venice,Grand Canal Palace,550,4.9,luxury,false,false,true,false,false
22,Venice,Accessible Lagoon Hotel,280,4.6,family,true,true,true,true,true
23,Vienna,Schonbrunn Elegance,320,4.8,cultural,true,true,true,true,true
24,Vienna,Danube Budget Choice,75,4.0,budget,true,false,true,false,true
25,Istanbul,Bosphorus Pearl,250,4.7,cultural,true,true,true,false,true
26,Istanbul,Sultanahmet Hostel,45,4.2,budget,false,false,false,false,false
27,New Delhi,Taj Mahal Palace Replica,400,4.9,luxury,true,true,true,true,true
28,New Delhi,Paharganj Backpacker,30,3.8,budget,false,false,false,false,false
29,Los Angeles,Hollywood Hills Mansion,850,4.9,luxury,true,true,true,true,true
30,Los Angeles,Venice Beach Hostel,55,4.1,budget,false,false,false,false,false
31,Rio de Janeiro,Copacabana Palace,450,4.8,luxury,true,true,true,false,true
32,Rio de Janeiro,Lapa Party Hostel,40,4.0,budget,false,false,false,false,false
33,Sydney,Opera House View,500,4.9,luxury,true,true,true,true,true
34,Sydney,Bondi Beach Lodge,120,4.4,adventure,true,true,false,false,true
35,Cape Town,Table Mountain Resort,350,4.7,adventure,true,true,true,true,true
36,Cape Town,Bo-Kaap Backpackers,50,4.2,budget,false,false,false,false,false
37,Nairobi,Safari Base Camp,200,4.6,adventure,true,true,false,true,true
38,Nairobi,City Center Business,150,4.3,business,true,true,true,false,true
39,Amsterdam,Canal Ring Boutique,280,4.7,cultural,false,false,false,false,false
40,Amsterdam,Accessible Dutch Inn,210,4.5,family,true,true,true,true,true
